eliteserien_clubs,URL
Bodø/Glimt,https://www.glimt.no
Brann,https://www.brann.no
Bryne,https://www.brynefk.no
Fredrikstad FK,https://www.fredrikstadfk.no
HamKam,https://www.hamkam.no
FK Haugesund,https://fkh.no
Kristiansund BK,https://www.kristiansundbk.no
KFUM,https://www.kåffa.no
Molde FK,https://www.moldefk.no
Rosenborg BK,https://www.rbk.no
Sandefjord Fotball,https://www.sandefjordfotball.no
Sarpsborg 08,https://www.sarpsborg08.no
Strømsgodset IF,https://www.godset.no
Tromsø IL,https://www.til.no
Viking FK,https://www.viking-fk.no
Vålerenga Fotball,https://www.vif-fotball.no
