obos_clubs,URL
Aalesunds FK,https://www.aafk.no
Egersunds IK,https://eikfotball.no
IL Hødd,https://www.hodd.no
Kongsvinger FK,https://www.kil.no
Lillestrøm SK,https://www.lsk.no
Lyn 1896,https://lyn1896.no
Mjøndalen IF,https://www.miffotball.no
Moss FK,https://www.mossfk.no
Odds BK,https://www.odd.no
Ranheim TF,https://www.ranheimfotball.no
Raufoss IL,https://www.raufossfotball.no
Skeid Fotball,https://www.skeid.no
Sogndal Fotball,https://www.sogndalfotball.no
Stabæk,https://stabak.no
IK Start,https://www.ikstart.no
Åsane Fotball,https://www.asanefotball.no
